COD_RESTAURANTE,NOME,CATEGORIA,DESCRICAO,ENDERECO,IMAGEM
1,"Sr. Moustache's",Hamburgueria,"Aqui você poderá pedir nossos hamburgueres deliciosos, com qualidade e sabor inigualaveis quer experimentar?","Rua Waldomiro Fernandes 237",.
2,"Espetaria Jardim do Lago",Espetaria,"Os espetinhos são anotados individualmente e preparados no momento do pedido, temos 26 tipos incluindo vegano, doces e premium, que variam de preços. Também servimos porções, caipirinhas, bebidas alcoólicas e não alcoólicas. Um ambiente agradável e amigável a todas as pessoas.","Castelo Branco 777",.
3,"Tia Augusta",Restaurante,"No Tia Augusta, você encontra comida saborosa, feita com carinho e aquele gostinho especial de comida caseira. Um ambiente acolhedor para aproveitar uma boa refeição e momentos deliciosos à mesa.","Waldomiro Fernandes, 237",.
4,"Restaurante Pinheiros",Restaurante,"O Restaurante Pinheiros oferece uma experiência gastronômica saborosa e acolhedora, com opções preparadas para quem valoriza uma boa refeição. Um lugar perfeito para reunir a família, os amigos ou simplesmente aproveitar aquele almoço especial.","RUA WALDOMIRO FERNANDES, 282",.
6,"Kass Pizzaria",Pizzaria,"Na Kass Pizzaria, sabor e qualidade se encontram em cada pizza. Massas deliciosas, recheios caprichados e combinações irresistíveis para deixar seu momento ainda mais especial. Perfeita para compartilhar ou aproveitar sozinho!","RUA JOÃO BORGES, 138",.
7,"2D espetaria",Espetaria,"Na 2D Espetaria, o sabor é preparado na brasa. Espetinhos deliciosos, carnes bem preparadas e acompanhamentos saborosos para você aproveitar cada momento. O lugar perfeito para reunir os amigos, curtir a família e saborear uma boa comida em um ambiente descontraído."," RUA JOÃO BORGES, 133",.
8,"Ops Hamburgueria ",Lanchonete,"Na Ops Hamburgueria, o clássico hambúrguer ganha muito sabor e personalidade. Hambúrgueres preparados com ingredientes selecionados, combinações caprichadas e aquele sabor que faz você querer pedir de novo.","RUA JOÃO BORGES, 439",.
9,"Planet Pizza",Pizzaria,"Prepare-se para uma viagem pelo universo do sabor na Planet Pizza! Pizzas deliciosas, recheios caprichados e opções para todos os gostos. O destino perfeito para quem ama uma boa pizza.","RUA JOÃO BORGES, 536",.
10,Ki-Recheio,"Salgados de Festas e Bebidas","Na Ki-Recheios, sua festa fica ainda mais gostosa! Encontre deliciosos salgados para festas e bebidas para acompanhar seus momentos especiais. Qualidade, praticidade e muito sabor para comemorar com quem você gosta.","RUA BLAISE PASCAL, 226",.
11,"Pó de Lua",Doceria,"A Pó de Lua transforma doces em momentos especiais. Delícias preparadas com carinho, sabor e criatividade para adoçar seu dia, surpreender alguém especial ou deixar sua comemoração ainda mais gostosa.","RUA ALFRED BERNHARD NOBEL, 43",.
12,"The Best Açai",Açaiteria,"O The Best Açai é a maior rede de açai self-service do mundo! Açai do seu jeito em casa!!","RUA ALFRED BERNHARD NOBEL, 1",.
13,"Açougue Restaurante","Açougue & Restaurante","No Açougue Restaurante, sabor e qualidade são protagonistas. Carnes e pratos preparados para quem aprecia uma boa refeição, com aquele toque especial que transforma cada momento à mesa em uma experiência deliciosa.","AVENIDA ARTHUR THOMAS, 815",.
14,"Jack Pizzaria",Pizzaria,"Pizza Grande, Combo familia pizza big, mais broto, pizza grande 60cm","RUA SERRA DOS PARECIS, 205",.
15,"Restaurante Cozinha Paraense",Restaurante,"O Cozinha Paraense traz, grandes novidades da culinaria Amazonica disponiveis in Londrina, pratos tipicos do norte do Brasil.","RUA SOROCABA, 685",.
16,"Mauros lanches",Lanchonete,"No Mauros Lanche, matar a fome fica muito mais gostoso! Lanches preparados com muito sabor e capricho, perfeitos para qualquer hora do dia. Uma opção deliciosa para quem não abre mão de um bom lanche.","ARTHUR THOMAS, 830",.
17,"PIZZARIA E CASA DE MASSAS LAZANHETE",Pizzaria,"Na Lazanhete, você encontra o melhor da culinária italiana em pizzas e massas deliciosas. Pratos preparados com carinho, ingredientes saborosos e aquele toque especial que transforma uma refeição em um momento inesquecível.","ARTHUR THOMAS, 1020",.
18,"Caseiro Grill",Restaurante,"Marmitas de qualidade com tempero caseiro há quase 30 anos in Londrina.","ARTHUR THOMAS, 1050",.
19,O’VIEIRA,"Massas Artesanais","Na O’Vieira, as massas artesanais são preparadas com cuidado para proporcionar uma experiência cheia de sabor. Qualidade, tradição e carinho em cada preparo para quem aprecia uma boa massa feita de forma especial.","ARTHUR THOMAS, 1058",.
